dealType,food,link
Buy 1 Get 1 FREE*,HERO Snack-Sized Gala Apples†,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232537
Buy 1 Get 1 FREE*,Grape Tomatoes†,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232537
Buy 1 Get 1 FREE*,Minneola Tangelos†,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232537
Buy 1 Get 1 FREE*,Blackberries†,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232537
$1 OFF WITH MFR DIGITAL COUPON,Any 1 Arnold Keto Bread,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
$1 OFF WITH MFR DIGITAL COUPON,Any 1 Arnold Whole Grains Bread,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
2 FOR $7,Bahlsen Cookies or Wafers,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
1.99,Barilla Gluten Free Pasta,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
10 for 10.00,BODYARMOR Sports Drink,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
5.99,Bumble Bee Solid White Albacore Tuna,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
$1 OFF WITH MFR DIGITAL COUPON,Bush's Best Zero Sugar Added Baked Beans,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
6.49,Canyon Bakehouse Gluten Free Bread,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
6.49,Canyon Bakehouse Gluten Free Bread,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
3 for 9.00,CapriSun Juice Drink Blend,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
2 for 6.00,Celestial Seasonings Tea Bags,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
2 for 6.00,Celestial Seasonings Tea Bags,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
$2 OFF WITH MFR DIGITAL COUPON,Chameleon Organic Cold-Brew Concentrate Espresso Coffee,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
Buy 1 Get 1 FREE*,Publix Peanut Butter Pretzels,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232537
$1 OFF,Any 1 Atkins Entrée,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232528
$3.99 ,Ben & Jerry's Doggie Desserts,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232528
7.99,Bertolli Skillet Meals,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232528
Buy 2 Get 8.00 Off,Bacardi Reserva Ocho 8 Year Rum,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232532
$2 OFF,Any 1 Hellmann's Mayonnaise,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232539
$2 OFF,Any 1 Chosen Foods Avocado Oil,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232539
$1 OFF,Any 1 Publix Deli Whole/Half Sub or Wrap Combo,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232539
$1 OFF,Any 2 Quaker Grits,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232539
$1 OFF,Any 1 Atkins Entrée,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232539
$1 OFF,"Any 1 Caulipower Pizza 10.9-oz, Crusts 2-pk. 11-oz or Chicken Tenders 14-oz",https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232539
$4 OFF,"Any 2: One A Day Vitamins 30–200-ct., Flintstones Vitamins 60–180-ct. or Citracal 70–200-ct.",https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232539
$4 OFF,"Any 2: Aleve or Aleve PM 80–270-ct., AleveX 2.5–3-oz, Bayer 200–300-ct. or Midol 40-ct.",https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232539
7.49,Boar's Head® Bowl,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232526
5.99 each,Boar's Head® FireSmith Chicken & Bacon Sandwich,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232526
7.49,Boar's Head® Bold Chef Salad,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232526
13.49 lb,Boar's Head® Mesquite Wood Smoked Turkey Breast†,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232526
11.29 lb,Boar's Head® Colby Jack Cheese,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232526
$2 OFF,Any 1 Chosen Foods Avocado Oil,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
Buy 2 Get 1 FREE,10-Pack Coca-Cola Soft Drink Products,https://accessibleweeklyad.publix.com/PublixAccessibility/BrowseByListing/ByCategory/?ListingSort=8&StoreID=2501005&CategoryID=5232529
